index_id,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
3354,87.87758067,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,99,0,4.532345981,0.390189114,38.08608541,1.434997565,56.08553079,0.837577923,23.73107,38.01624,,
3355,90.45532304,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,100,0,4.46891534,0.462307288,38.45285317,1.448816544,56.82634592,0.848641211,23.73336,38.01578,,
3356,135.4486443,Entire home/apt,FALSE,FALSE,6,TRUE,0,1,10,100,2,1.892885086,0.219421555,99.19614532,3.737486419,139.6623172,2.085708592,23.72867,37.99176,,
3357,110.1399011,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,93,2,1.914185509,0.361789016,96.78085978,3.646483921,161.1475083,2.406567136,23.72228,37.98933,,
3358,53.19522883,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,94,1,4.7788943,0.327950085,36.32341453,1.368584112,53.33606878,0.796517623,23.72843,38.01825,,
3359,138.9637476,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,97,2,2.110892147,0.189917844,86.86591328,3.272911161,136.5497353,2.039225483,23.72255,37.99163,,
3360,138.9637476,Entire home/apt,FALSE,FALSE,5,FALSE,0,0,10,100,3,2.467335725,1.141774544,63.5982047,2.396236522,91.5237514,1.366810164,23.749,37.995,,
3361,53.42956905,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,8,88,1,3.510751461,1.722068695,46.8754178,1.766159732,67.918218,1.014286557,23.74732,38.00574,,
3362,187.7065123,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,93,1,1.889095689,0.483254279,96.74637806,3.645184728,145.9043852,2.178927259,23.7257,37.99075,,
3363,63.74053851,Private room,FALSE,TRUE,3,FALSE,1,0,10,100,1,2.746714613,1.100703259,60.21371343,2.268716546,88.30475252,1.31873783,23.73937,38.0001,,
3364,103.1096947,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,9,94,2,4.468212412,0.401834005,36.89775125,1.390223821,52.02486992,0.776936259,23.77931,37.99584,,
3365,61.39713636,Private room,FALSE,TRUE,2,FALSE,0,1,9,95,1,2.290514797,0.470630081,78.63058854,2.962622749,117.2522933,1.751038652,23.72511,37.99452,,
3366,112.4833033,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,94,1,1.799613309,0.458307728,102.11678,3.84752933,151.4075682,2.261111461,23.72673,37.99025,,
3367,97.25118928,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,96,1,3.183482839,1.804777487,50.94523464,1.919501226,73.780609,1.10183515,23.74917,38.00208,,
3368,168.0219342,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,100,1,1.613849189,0.30473132,162.9681562,6.140271563,246.7970586,3.685652338,23.71709,37.97675,,
3369,185.3631102,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,95,2,2.441837722,0.350519172,63.96060785,2.409891054,94.36249481,1.409203787,23.75614,37.99019,,
3370,121.6225716,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,94,1,3.015507981,0.883204942,52.25327479,1.968785221,74.27699456,1.109248142,23.76763,37.98486,,
3371,113.4206641,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,99,1,3.338893061,0.482496657,48.38339878,1.822977045,68.57348215,1.024072232,23.76938,37.989,,
3372,113.4206641,Entire home/apt,FALSE,FALSE,6,TRUE,0,0,10,97,3,1.885522361,0.12694969,101.9313433,3.840542492,138.6629304,2.070783811,23.73,37.992,,
3373,159.8200267,Entire home/apt,FALSE,FALSE,5,FALSE,0,0,10,100,2,2.602952699,0.368446182,60.25430904,2.270246096,91.55343813,1.367253504,23.75823,37.99049,,
3374,113.4206641,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,99,1,3.181582333,0.166255201,50.37307348,1.897943488,76.2895455,1.139303456,23.76509,37.99195,,
3375,75.22320905,Private room,FALSE,TRUE,2,FALSE,0,0,6,60,1,3.659972361,0.436024124,47.17114524,1.777302073,63.14863738,0.943057929,23.77152,37.99196,,
3376,96.0794882,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,9,93,1,2.561977261,0.349145892,61.14361514,2.303753139,92.24637411,1.377601768,23.75776,37.99036,,
3377,158.8826659,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,99,1,2.597771797,0.413108451,69.76249194,2.628492925,104.8457501,1.565760087,23.721,37.996,,
